time,phase,rst_n,start,start_accepted,start_rejected,busy,done,error_code,error,stalled_cycle,length_bytes,source_req_valid,source_req_ready,source_req_last,source_rsp_rdata,destination_req_valid,destination_req_ready,destination_req_last,destination_req_wstrb,destination_rsp_error
5000,1,0,0,x,x,x,x,x,x,x,0,0,1,0,0,0,1,0,0,0
15000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45000,16,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0
55000,16,1,0,1,0,1,0,0,0,0,4,1,1,1,0,0,1,0,15,0
65000,16,1,0,0,0,1,0,0,0,0,4,0,1,0,db008100,0,1,0,15,0
75000,16,1,0,0,0,1,0,0,0,0,4,0,1,0,db008100,1,1,1,15,0
85000,16,1,0,0,0,1,0,0,0,0,4,0,1,0,db008100,0,1,0,15,0
95000,32,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,15,0
105000,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
115000,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
125000,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
135000,32,1,1,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,15,0
145000,32,1,0,1,0,1,0,0,0,0,13,1,1,0,0,0,1,0,15,0
155000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de008400,0,1,0,15,0
165000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de008400,1,1,0,15,0
175000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de008400,0,1,0,15,0
185000,32,1,0,0,0,1,0,0,0,0,13,1,1,0,de008400,0,1,0,15,0
195000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de048404,0,1,0,15,0
205000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de048404,1,1,0,15,0
215000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de048404,0,1,0,15,0
225000,32,1,0,0,0,1,0,0,0,0,13,1,1,0,de048404,0,1,0,15,0
235000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de088408,0,1,0,15,0
245000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de088408,1,1,0,15,0
255000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de088408,0,1,0,15,0
265000,32,1,0,0,0,1,0,0,0,0,13,1,1,1,de088408,0,1,0,15,0
275000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de0c840c,0,1,0,15,0
285000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de0c840c,1,1,1,15,0
295000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de0c840c,0,1,0,15,0
305000,32,1,0,0,0,1,0,0,0,0,13,1,1,1,de0c840c,0,1,0,7,0
315000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de108410,0,1,0,7,0
325000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de108410,1,1,1,7,0
335000,32,1,0,0,0,1,0,0,0,0,13,0,1,0,de108410,0,1,0,7,0
345000,48,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0
355000,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
365000,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
375000,48,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
385000,48,1,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,7,0
395000,48,1,0,1,0,1,0,0,0,0,10,1,1,0,0,0,1,0,15,0
405000,48,1,0,0,0,1,0,0,0,0,10,0,0,0,ca009000,0,1,0,15,0
415000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca009000,1,1,0,15,0
425000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca009000,0,0,0,15,0
435000,48,1,0,0,0,1,0,0,0,1,10,1,0,0,ca009000,0,1,0,15,0
445000,48,1,0,0,0,1,0,0,0,0,10,1,1,0,ca009000,0,1,0,15,0
455000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca049004,0,1,0,15,0
465000,48,1,0,0,0,1,0,0,0,1,10,0,0,0,ca049004,1,0,0,15,0
475000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca049004,1,1,0,15,0
485000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca049004,0,1,0,15,0
495000,48,1,0,0,0,1,0,0,0,1,10,1,0,0,ca049004,0,1,0,15,0
505000,48,1,0,0,0,1,0,0,0,0,10,1,1,0,ca049004,0,0,0,15,0
515000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca089008,0,1,0,15,0
525000,48,1,0,0,0,1,0,0,0,0,10,0,0,0,ca089008,1,1,0,15,0
535000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca089008,0,1,0,15,0
545000,48,1,0,0,0,1,0,0,0,0,10,1,1,1,ca089008,0,0,0,15,0
555000,48,1,0,0,0,1,0,0,0,0,10,0,0,0,ca0c900c,0,1,0,15,0
565000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca0c900c,1,1,1,15,0
575000,48,1,0,0,0,1,0,0,0,0,10,0,1,0,ca0c900c,0,1,0,15,0
585000,64,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,15,0
595000,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
605000,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
615000,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
625000,64,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
635000,80,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,15,0
645000,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
655000,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
665000,80,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
675000,80,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,15,0
685000,96,0,0,1,0,0,1,5,1,0,0,0,1,0,0,0,1,0,15,0
695000,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
705000,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
715000,96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
725000,96,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,15,0
735000,96,1,1,1,0,1,0,0,0,1,4,1,0,0,0,0,1,0,15,0
745000,96,1,0,0,1,1,0,3,1,0,4,1,1,0,0,0,1,0,15,0
755000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f200a800,0,1,0,15,0
765000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f200a800,1,1,0,15,0
775000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f200a800,0,1,0,15,0
785000,96,1,0,0,0,1,0,0,0,0,4,1,1,0,f200a800,0,1,0,15,0
795000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f204a804,0,1,0,15,0
805000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f204a804,1,1,0,15,0
815000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f204a804,0,1,0,15,0
825000,96,1,0,0,0,1,0,0,0,0,4,1,1,0,f204a804,0,1,0,15,0
835000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f208a808,0,1,0,15,0
845000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f208a808,1,1,0,15,0
855000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f208a808,0,1,0,15,0
865000,96,1,0,0,0,1,0,0,0,0,4,1,1,1,f208a808,0,1,0,15,0
875000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f20ca80c,0,1,0,15,0
885000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f20ca80c,1,1,1,15,0
895000,96,1,0,0,0,1,0,0,0,0,4,0,1,0,f20ca80c,0,1,0,15,0
905000,112,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,15,0
915000,112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
925000,112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
935000,112,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
945000,112,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,15,0
955000,112,1,0,1,0,1,0,0,0,0,4,1,1,1,0,0,1,0,15,0
965000,112,1,0,0,0,1,0,0,0,0,4,0,1,0,ea00b000,0,1,0,15,0
975000,128,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,1,0,15,0
985000,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
995000,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
1005000,128,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
1015000,128,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,15,0
1025000,128,1,0,1,0,1,0,0,0,0,4,1,1,1,0,0,1,0,15,0
1035000,128,1,0,0,0,1,0,0,0,0,4,0,1,0,ee00b400,0,1,0,15,0
1045000,128,1,0,0,0,1,0,0,0,0,4,0,1,0,ee00b400,1,1,1,15,0
1055000,128,1,0,0,0,1,0,0,0,0,4,0,1,0,ee00b400,0,1,0,15,1
1065000,144,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,1,0,15,0
1075000,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
1085000,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
1095000,144,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0
1105000,144,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,15,0
1115000,144,0,0,1,0,1,0,0,0,1,10,0,0,0,0,0,1,0,15,0
1125000,144,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,15,0
1135000,144,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,15,0
1145000,144,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,15,0
1155000,255,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,15,0
1165000,255,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,15,0
1175000,255,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,15,0
1185000,255,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,15,0
