time,phase,rst_n,fifo_push_valid,fifo_push_ready,fifo_pop_valid,fifo_pop_ready,fifo_full,fifo_empty,fifo_occupancy,fifo_pop_data,ram_rd_data,ram_rd_valid,ram_reg_rd_data,spm_wr_error,spm_rd_error
5000,1,0,0,x,x,0,x,x,x,xx,xxxxxxxx,x,xxxxxxxx,0,0
15000,1,0,0,1,0,0,0,1,0,xx,xxxxxxxx,0,xxxxxxxx,0,0
25000,1,0,0,1,0,0,0,1,0,xx,xxxxxxxx,0,xxxxxxxx,0,0
35000,1,1,0,1,0,0,0,1,0,xx,xxxxxxxx,0,xxxxxxxx,0,0
45000,16,1,1,1,0,0,0,1,0,xx,xxxxxxxx,0,xxxxxxxx,0,0
55000,16,1,1,1,1,0,0,0,1,11,xxxxxxxx,0,xxxxxxxx,0,0
65000,16,1,1,1,1,0,0,0,2,11,xxxxxxxx,0,xxxxxxxx,0,0
75000,16,1,1,1,1,0,0,0,3,11,xxxxxxxx,0,xxxxxxxx,0,0
85000,16,1,1,0,1,0,1,0,4,11,xxxxxxxx,0,xxxxxxxx,0,0
95000,16,1,1,1,1,1,1,0,4,11,xxxxxxxx,0,xxxxxxxx,0,0
105000,16,1,0,1,1,1,1,0,4,22,xxxxxxxx,0,xxxxxxxx,0,0
115000,16,1,0,1,1,1,0,0,3,33,xxxxxxxx,0,xxxxxxxx,0,0
125000,16,1,0,1,1,1,0,0,2,44,xxxxxxxx,0,xxxxxxxx,0,0
135000,16,1,0,1,1,1,0,0,1,55,xxxxxxxx,0,xxxxxxxx,0,0
145000,32,0,0,1,0,0,0,1,0,22,xxxxxxxx,0,xxxxxxxx,0,0
155000,32,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
165000,32,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
175000,32,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
185000,32,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
195000,32,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
205000,32,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
215000,48,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
225000,48,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
235000,48,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
245000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
255000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
265000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
275000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
285000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
295000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
305000,48,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
315000,64,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
325000,64,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
335000,64,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
345000,64,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
355000,64,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
365000,64,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
375000,64,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
385000,80,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
395000,80,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
405000,80,0,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
415000,80,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
425000,80,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
435000,80,1,0,1,0,0,0,1,0,55,xxxxxxxx,0,xxxxxxxx,0,0
445000,80,1,0,1,0,0,0,1,0,55,11223344,1,xxxxxxxx,0,0
455000,80,1,0,1,0,0,0,1,0,55,11223344,0,11223344,0,0
465000,80,1,0,1,0,0,0,1,0,55,11223344,0,11223344,0,0
475000,80,1,0,1,0,0,0,1,0,55,11bb33dd,1,11223344,0,0
485000,80,1,0,1,0,0,0,1,0,55,11bb33dd,0,11bb33dd,0,0
495000,80,1,0,1,0,0,0,1,0,55,11bb33dd,0,11bb33dd,0,0
505000,80,1,0,1,0,0,0,1,0,55,cafebabe,1,11bb33dd,0,0
515000,80,1,0,1,0,0,0,1,0,55,cafebabe,0,cafebabe,0,0
525000,80,1,0,1,0,0,0,1,0,55,badf00d,1,cafebabe,0,0
535000,96,0,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
545000,96,0,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
555000,96,0,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
565000,96,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
575000,96,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
585000,96,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
595000,96,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,1,0
605000,96,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,1
615000,255,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
625000,255,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
635000,255,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
645000,255,1,0,1,0,0,0,1,0,55,badf00d,0,badf00d,0,0
